"userid","viddlerid"
"8719","5b01ca28"
"6952","c6226d66"
"3126","c5cc7f0a"
"3135","331f194"
"3371","13096124"
"3350","b52799a5"
"3351","20448602"
"3352","f3d0c181"
"3353","e2c0e89e"
"3354","7db55519"
"3355","72f0f629"
"3356","18ed2e4f"
"3358","e79e8adb"
"3359","8e8237c5"
"3380","50e9162b"
"3381","f1b091de"
"3382","ee33d1c3"
"3383","b0a1e9a1"
"3397","b3bdf7e1"
"3396","2d031836"
"3398","50acd056"
"3399","432221d0"
"3400","f816a020"
"3401","7305ec12"
"3402","8a47659b"
"3403","5c5622b8"
"3404","23f33c7c"
"4476","2e534dd7"
"4316","2dfd1a9c"
"4235","d1e1883f"
"4236","42363807"
"4252","10611a24"
"4317","e787c7e9"
"4474","56329e22"
"4715","85b05517"
"5082","4a528b05"
"4850","aae68181"
"4852","79766adb"
"4853","261139c6"
"4929","ea440be1"
"4932","e88709a5"
"4930","12947339"
"4931","855804bb"
"4933","23b4d03d"
"4934","eee2fe69"
"4935","2e08b645"
"4936","48f260fe"
"4937","3e41dea3"
"4938","4715fd29"
"4939","3cab16c6"
"4940","845c1a24"
"4941","713eb59d"
"4942","47ea797f"
"4943","187b7587"
"4944","d77c29fc"
"4945","ebf7ced3"
"4946","88e5bec3"
"4947","e337cc60"
"4948","afe198a5"
"4949","aa783ee2"
"4950","4ae2e19a"
"4951","86742186"
"4952","4c2b3520"
"4965","82ac8efa"
"4969","235beeca"
"4970","5fbaeee6"
"4971","3d4a7a00"
"4972","35613d4"
"4973","6c2acde"
"4974","39917bf0"
"4975","b697118"
"4976","b24dd0f"
"4977","747a3e73"
"5080","da767345"
"5081","169a1311"
"5083","3b84b607"
"5084","3ba668f7"
"5085","9b3484f2"
"5086","a898e98c"
"5087","23ecc59f"
"5351","c77ba327"
"5436","c07d8a6f"
"5497","62b55dc5"
"5668","cdc22063"
"5671","901daa3a"
"5672","f790ec3b"
"5863","a7493857"
"5988","755eb92b"
"6034","d4c2fbd7"
"6052","28d0f640"
"6107","9e9469e3"
"6110","c58a5315"
"6126","c729cafb"
"6125","c3499ab2"
"6132","9aaee4a8"
"6133","6a7af841"
"6136","fd110bc6"
"6195","6802801e"
"6212","9e74a6d2"
"6256","3a9530f"
"6279","94458417"
"6428","5f18e391"
"6492","32d32a3b"
"6541","75dadd06"
"6545","216eec7c"
"6567","4bb74ca2"
"6614","bde9571c"
"6663","b20b2c37"
"6729","79ea41c8"
"6678","8ad4e6ea"
"6679","edce98fa"
"6680","b5112786"
"6681","199e77e3"
"6682","eedd9b05"
"6749","bee7b092"
"6786","f3a5fb33"
"6802","b1af896"
"6917","96c7a99c"
"7087","ec36517e"
"7107","41a7ca11"
"7126","cbbf157a"
"7215","8ed653de"
"7298","80a57eb8"
"7349","8c66ea1d"
"7369","57922056"
"7370","ed810dc9"
"7415","2940431d"
"7421","889472c6"
"7422","d91d1502"
"7432","aa9e3734"
"7500","4759e48c"
"7586","82725746"
"7636","dadb8859"
"7651","b36fb891"
"7652","b6f95743"
"7714","14f10439"
"7734","7aff49b6"
"7749","77b00c2d"
"7750","d59b3ca7"
"7758","d569a985"
"7760","31fdafb8"
"7763","790406ed"
"7782","d83ca696"
"7789","d85e3eac"
"7794","37e840e4"
"7801","4066f415"
"7804","ab7653a4"
"7806","aebd0ca0"
"7807","3caf64ad"
"7808","767b5d03"
"7880","18450bd7"
"7881","742eceb9"
"7884","4b3ff215"
"7890","45569ce0"
"7931","156d7b43"
"7960","4a1be001"
"8193","a22b557e"
"8302","da6f617"
"8361","f2ab3f60"
"8469","88b5a2a5"
"8484","978c910d"
"8517","38112b96"
"8523","5f1300b3"
"8540","30d2cfcb"
"8638","5939c333"
"8632","97c1b476"
"8644","c8346331"
"8648","655dd814"
"8649","bfae0612"
"8650","64e671f6"
"8655","bed6966a"
"8830","f918c1d7"
"8963","8a16b956"
"9026","54c0562c"
"9073","59e4c934"
"9173","f20af67f"
"9177","899ef626"
"9191","993ce1dd"
"9192","37d015d7"
"9193","858e3bb8"
"9194","8c68d51d"
"9247","1f350f37"
